Batsman,Bowler,Probability of 0,Probability of 1,Probability of 2,Probability of 3,Probability of 4,Probability of 6,Probability of W,Balls Faced
TM Head,R Ashwin,0.5,0.5,0,0,0,0,0,2
AR Patel,JJ Bumrah,1,0,0,0,0,0,0,1
V Kohli,A Mishra,0.1875,0.625,0,0,0.125,0.0625,0,16
GJ Bailey,A Nehra,0.714285714,0.142857143,0,0,0.142857143,0,0,7
SV Samson,HH Pandya,0,0.666666667,0,0,0.333333333,0,0,3
SK Raina,JP Duminy,0.333333333,0.333333333,0.333333333,0,0,0,0,3
DJ Bravo,SR Watson,0.25,0.25,0,0,0.25,0,0.25,4
RG Sharma,RP Singh,0.25,0.25,0.25,0,0.25,0,0,4
SS Iyer,HH Pandya,0.5,0.25,0,0,0,0,0.25,4
UT Khawaja,B Kumar,0.333333333,0.666666667,0,0,0,0,0,3
R Bhatia,HV Patel,0,0.666666667,0,0,0,0.333333333,0,3
MJ Guptill,A Mishra,0.444444444,0.444444444,0,0,0.111111111,0,0,9
KL Rahul,MJ McClenaghan,0.541666667,0.083333333,0.041666667,0,0.125,0.166666667,0.041666667,24
V Kohli,TG Southee,0.529411765,0.294117647,0.058823529,0,0.058823529,0.058823529,0,17
PA Patel,MG Johnson,0.411764706,0.117647059,0.058823529,0,0.352941176,0,0.058823529,17
RG Sharma,JD Unadkat,0.375,0.375,0,0,0,0.25,0,8
KH Pandya,CH Morris,0.333333333,0,0.333333333,0,0,0,0.333333333,3
DJ Bravo,KH Pandya,0.5,0.5,0,0,0,0,0,4
MC Henriques,DS Kulkarni,0.333333333,0.333333333,0,0,0.333333333,0,0,6
V Kohli,Mustafizur Rahman,0.5,0.2,0.1,0,0.1,0.05,0.05,20
KL Rahul,KC Cariappa,0.333333333,0.333333333,0,0,0,0,0.333333333,3
DA Miller,DJ Bravo,0.230769231,0.538461538,0.076923077,0,0.076923077,0,0.076923077,13
KK Nair,AD Russell,0.466666667,0.2,0.2,0,0.133333333,0,0,15
PSP Handscomb,JJ Bumrah,0.75,0.25,0,0,0,0,0,4
F du Plessis,JJ Bumrah,0.583333333,0.166666667,0,0,0.083333333,0.166666667,0,12
JC Buttler,DJ Bravo,0.428571429,0.285714286,0.142857143,0,0,0,0.142857143,7
S Dhawan,CH Morris,0.5,0.375,0.125,0,0,0,0,8
AJ Finch,CJ Jordan,0.571428571,0.428571429,0,0,0,0,0,7
DA Miller,JP Faulkner,0,0.6,0.2,0,0.2,0,0,5
MS Dhoni,MM Sharma,0.3,0.3,0.1,0,0.2,0,0.1,10
DJ Bravo,A Nehra,0.25,0.25,0.25,0,0.25,0,0,4
CH Morris,MM Sharma,0.5,0.25,0.25,0,0,0,0,4
MC Henriques,MM Sharma,0.5,0,0,0,0,0,0.5,2
DJ Hooda,MP Stoinis,0,0.5,0,0,0.5,0,0,4
AT Rayudu,SM Boland,0,0.5,0.25,0,0.25,0,0,4
Sachin Baby,MJ McClenaghan,0,1,0,0,0,0,0,2
CH Morris,PP Chawla,0.5,0.166666667,0,0,0.166666667,0,0.166666667,6
AD Nath,Mustafizur Rahman,0.666666667,0.166666667,0.166666667,0,0,0,0,6
RV Uthappa,R Ashwin,0.333333333,0,0,0,0.333333333,0,0.333333333,3
CH Morris,R Ashwin,0.444444444,0.444444444,0,0,0.111111111,0,0,9
RA Jadeja,Mohammed Shami,0.4,0.3,0,0,0.1,0.1,0.1,10
MS Dhoni,A Mishra,0,1,0,0,0,0,0,3
GJ Maxwell,M Ashwin,0,0.5,0,0,0.25,0.25,0,4
Q de Kock,UT Yadav,0.666666667,0,0,0,0.166666667,0.166666667,0,6
DA Miller,AD Russell,0.75,0,0,0,0,0,0.25,4
M Vohra,TG Southee,0.6,0.4,0,0,0,0,0,5
KS Williamson,Shakib Al Hasan,0,0.666666667,0.333333333,0,0,0,0,3
Q de Kock,S Aravind,0.269230769,0.461538462,0.038461538,0,0.192307692,0.038461538,0,26
SE Marsh,UT Yadav,0,0.8,0,0,0,0,0.2,5
KA Pollard,A Nehra,1,0,0,0,0,0,0,3
SS Tiwary,A Mishra,0.444444444,0.333333333,0,0,0.111111111,0.111111111,0,9
SS Tiwary,Harbhajan Singh,0.166666667,0.666666667,0.083333333,0,0.083333333,0,0,12
KA Pollard,AD Russell,0.5,0.5,0,0,0,0,0,2
TG Southee,MP Stoinis,0,1,0,0,0,0,0,1
AM Rahane,DJ Bravo,0.142857143,0.285714286,0.428571429,0,0.142857143,0,0,7
Ishan Kishan,NLTC Perera,0.5,0,0,0,0,0,0.5,2
Q de Kock,KC Cariappa,0.444444444,0.222222222,0,0.111111111,0.222222222,0,0,9
V Kohli,NLTC Perera,0.333333333,0.375,0.041666667,0,0.125,0.083333333,0.041666667,24
AM Rahane,Parvez Rasool,0,0.8,0,0,0.2,0,0,5
Ishan Kishan,S Nadeem,0.5,0.5,0,0,0,0,0,2
RA Jadeja,BB Sran,0.111111111,0.666666667,0.222222222,0,0,0,0,9
IK Pathan,R Dhawan,0.5,0,0,0,0,0,0.5,2
DS Kulkarni,B Kumar,0.5,0,0,0.5,0,0,0,2
KK Nair,A Nehra,0,1,0,0,0,0,0,1
MS Dhoni,T Shamsi,0.090909091,0.545454545,0.181818182,0,0.181818182,0,0,11
RR Pant,R Ashwin,0.75,0.25,0,0,0,0,0,4
DS Kulkarni,Sandeep Sharma,0.25,0,0.75,0,0,0,0,4
M Vohra,Z Khan,0.857142857,0.142857143,0,0,0,0,0,7
M Vijay,M Ashwin,0.125,0.625,0,0,0,0.125,0.125,8
KD Karthik,DJ Hooda,0.25,0.25,0,0,0.25,0,0.25,4
SE Marsh,KA Pollard,0,0.666666667,0.333333333,0,0,0,0,3
KK Nair,Parvez Rasool,0,1,0,0,0,0,0,1
KS Williamson,P Kumar,0.6,0.2,0,0,0,0,0.2,5
AR Patel,CH Morris,0.2,0.4,0.2,0,0,0.2,0,5
M Vohra,M Ashwin,0.25,0.5,0.125,0,0.125,0,0,8
DA Warner,Harbhajan Singh,0.46875,0.21875,0.09375,0,0.15625,0.03125,0.03125,32
SA Yadav,T Shamsi,0.333333333,0.333333333,0,0,0.333333333,0,0,3
EJG Morgan,AD Russell,0.6,0.2,0.2,0,0,0,0,5
MC Henriques,KW Richardson,0.25,0.25,0,0,0,0.5,0,4
JP Faulkner,CH Morris,0.076923077,0.384615385,0.307692308,0,0.153846154,0,0.076923077,13
KL Rahul,AB Dinda,0.2,0.4,0.3,0,0.1,0,0,10
SN Khan,KH Pandya,0.25,0.5,0.25,0,0,0,0,4
AT Rayudu,SB Jakati,0,1,0,0,0,0,0,1
Q de Kock,MG Johnson,0.272727273,0.363636364,0,0,0.272727273,0.090909091,0,11
BB McCullum,AB Dinda,0.5,0.5,0,0,0,0,0,4
UT Khawaja,Z Khan,0.5,0.2,0,0,0.3,0,0,10
BB McCullum,DJ Hooda,0.5,0.5,0,0,0,0,0,2
AM Rahane,PP Chawla,0.222222222,0.444444444,0,0.111111111,0.111111111,0.111111111,0,9
AB de Villiers,MC Henriques,0,0.666666667,0.055555556,0,0.166666667,0.111111111,0,18
SV Samson,P Sahu,0.333333333,0.333333333,0.166666667,0,0,0.166666667,0,6
MK Pandey,P Kumar,0.666666667,0,0,0,0,0,0.333333333,3
NS Naik,B Kumar,0.4,0.6,0,0,0,0,0,5
DA Miller,JJ Bumrah,0.142857143,0.285714286,0.428571429,0,0,0.142857143,0,7
MK Pandey,Harbhajan Singh,0.375,0.375,0,0,0,0.125,0.125,8
Yuvraj Singh,J Yadav,0,0.5,0.25,0,0.25,0,0,4
KS Williamson,Mohammed Shami,0.333333333,0.5,0,0,0.166666667,0,0,6
SA Yadav,DR Smith,0.714285714,0,0.142857143,0,0,0,0.142857143,7
SR Watson,AD Russell,0.2,0.2,0,0,0.6,0,0,5
DA Warner,YK Pathan,0.428571429,0.5,0.071428571,0,0,0,0,14
EJG Morgan,TG Southee,0.5,0.166666667,0.166666667,0,0,0,0.166666667,6
SR Watson,Mohammed Shami,0.333333333,0.333333333,0,0,0,0.166666667,0.166666667,6
M Vijay,NLTC Perera,0.25,0.5,0,0,0.25,0,0,4
WP Saha,MC Henriques,0.25,0.5,0,0,0,0,0.25,4
BCJ Cutting,MM Sharma,0.333333333,0.333333333,0,0,0,0.333333333,0,3
M Vijay,S Nadeem,0,0.5,0.25,0,0.25,0,0,4
SS Tiwary,CR Brathwaite,0,1,0,0,0,0,0,2
SE Marsh,P Negi,0.666666667,0,0,0,0.333333333,0,0,3
Yuvraj Singh,PJ Sangwan,0,1,0,0,0,0,0,1
Yuvraj Singh,A Zampa,0.666666667,0,0,0,0,0,0.333333333,3
AD Russell,MM Sharma,0.25,0.5,0,0,0,0.25,0,4
GJ Bailey,A Mishra,0.333333333,0.666666667,0,0,0,0,0,3
JC Buttler,I Sharma,1,0,0,0,0,0,0,1
BB McCullum,S Nadeem,0.272727273,0.545454545,0,0,0.181818182,0,0,11
MS Dhoni,P Kumar,0,0.5,0,0,0.5,0,0,2
P Kumar,B Kumar,0,0.666666667,0,0,0.333333333,0,0,3
Shakib Al Hasan,BB Sran,0,1,0,0,0,0,0,3
P Negi,AB Dinda,0.333333333,0.166666667,0.166666667,0,0.166666667,0.166666667,0,6
MC Henriques,JO Holder,0,0.8,0,0,0.2,0,0,5
SE Marsh,S Kaushik,0.333333333,0.333333333,0,0,0,0,0.333333333,3
DJ Hooda,SP Narine,0,0.75,0,0,0,0.25,0,4
DJ Hooda,Mohammed Shami,0,1,0,0,0,0,0,2
YK Pathan,MC Henriques,0.2,0.5,0.2,0,0,0,0.1,10
RR Pant,A Zampa,0.4,0.2,0.2,0,0,0,0.2,5
Ishan Kishan,Mohammed Shami,0,1,0,0,0,0,0,2
WP Saha,SR Watson,0,1,0,0,0,0,0,1
SW Billings,Iqbal Abdulla,0.666666667,0.333333333,0,0,0,0,0,3
TM Head,MJ McClenaghan,0.142857143,0.142857143,0.428571429,0,0.142857143,0.142857143,0,7
MC Henriques,JJ Bumrah,0.333333333,0.666666667,0,0,0,0,0,6
MJ McClenaghan,Kuldeep Yadav,0.4,0.2,0,0,0,0.2,0.2,5
KD Karthik,TA Boult,0.75,0,0,0,0.25,0,0,4
CH Morris,UT Yadav,0.666666667,0,0,0,0,0,0.333333333,3
CA Lynn,JJ Bumrah,0.333333333,0.166666667,0.5,0,0,0,0,6
KL Rahul,P Negi,0.333333333,0.666666667,0,0,0,0,0,6
KK Nair,MC Henriques,0.333333333,0.416666667,0,0,0.083333333,0.083333333,0.083333333,12
RR Pant,DJ Hooda,0,0.666666667,0.333333333,0,0,0,0,3
Bipul Sharma,NLTC Perera,0.333333333,0.333333333,0.333333333,0,0,0,0,3
JC Buttler,MR Marsh,0.5,0,0,0,0,0,0.5,2
MC Henriques,NLTC Perera,0,0.333333333,0.333333333,0,0.333333333,0,0,3
Harbhajan Singh,JP Faulkner,0.333333333,0.666666667,0,0,0,0,0,3
RV Uthappa,A Mishra,0.416666667,0.333333333,0.041666667,0,0.083333333,0.083333333,0.041666667,24
JP Duminy,SM Boland,0.25,0.5,0,0,0,0,0.25,4
DA Warner,AF Milne,0.142857143,0.428571429,0,0,0.285714286,0.142857143,0,7
MS Dhoni,A Nehra,0.25,0.375,0,0,0,0.125,0.25,8
HH Pandya,MC Henriques,0.428571429,0.571428571,0,0,0,0,0,7
S Kaushik,Sachin Baby,0.5,0,0,0,0,0,0.5,2
MP Stoinis,YS Chahal,0,1,0,0,0,0,0,2
KD Karthik,AS Rajpoot,0.5,0.5,0,0,0,0,0,2
AM Rahane,STR Binny,0.352941176,0.352941176,0,0,0.294117647,0,0,17
AJ Finch,MJ McClenaghan,0.25,0.5,0.125,0,0.125,0,0,8
RA Jadeja,GB Hogg,0.666666667,0.333333333,0,0,0,0,0,3
S Dhawan,J Yadav,0.454545455,0.454545455,0.090909091,0,0,0,0,11
HH Pandya,A Nehra,0.666666667,0.333333333,0,0,0,0,0,3
CA Lynn,MJ McClenaghan,0.5,0.5,0,0,0,0,0,2
Sachin Baby,B Kumar,0.111111111,0.444444444,0.111111111,0,0.222222222,0,0.111111111,9
PSP Handscomb,TG Southee,0.5,0.5,0,0,0,0,0,4
SS Iyer,AD Russell,0.666666667,0,0,0,0,0,0.333333333,6
DA Miller,SP Narine,0,1,0,0,0,0,0,1
Sachin Baby,Mustafizur Rahman,0,0.375,0.25,0,0.125,0.25,0,8
CA Lynn,TG Southee,0.5,0,0.5,0,0,0,0,2
KS Williamson,T Shamsi,0,0.833333333,0,0,0.166666667,0,0,6
DA Warner,A Mishra,0.181818182,0.545454545,0.090909091,0,0.090909091,0,0.090909091,11
DR Smith,M Ashwin,0.666666667,0.333333333,0,0,0,0,0,3
AB de Villiers,KJ Abbott,0.666666667,0,0,0,0,0,0.333333333,3
M Vijay,I Sharma,0.636363636,0.181818182,0,0,0.090909091,0.090909091,0,11
M Vijay,A Zampa,0.214285714,0.571428571,0,0,0.071428571,0.142857143,0,14
